
> mission-control@0.1.0 dev
> next dev -p 3001

   ▲ Next.js 15.1.6
   - Local:        http://localhost:3001
   - Network:      http://192.168.1.30:3001

 ✓ Starting...
 ✓ Ready in 1029ms
 ✓ Compiled /_not-found in 486ms (592 modules)
 GET /api/tasks 404 in 599ms
 ✓ Compiled in 74ms (300 modules)
 GET / 200 in 13ms
 ✓ Compiled in 72ms (300 modules)
 GET / 200 in 7ms
 ✓ Compiled in 64ms (300 modules)
 GET / 200 in 6ms
 ✓ Compiled in 64ms (300 modules)
 GET / 200 in 9ms
 ✓ Compiled in 79ms (300 modules)
 GET / 200 in 5ms
 ✓ Compiled in 71ms (300 modules)
 GET / 200 in 15ms
 ✓ Compiled in 75ms (300 modules)
 GET / 200 in 8ms
 ✓ Compiled in 56ms (300 modules)
 GET / 200 in 5ms
 ✓ Compiled in 68ms (300 modules)
 GET / 200 in 7ms
 ✓ Compiled in 74ms (300 modules)
 GET / 200 in 12ms
 ✓ Compiled in 83ms (300 modules)
 GET / 200 in 18ms
 ✓ Compiled in 68ms (300 modules)
 GET / 200 in 6ms
 ✓ Compiled in 72ms (300 modules)
 GET / 200 in 18ms
 ✓ Compiled in 69ms (300 modules)
 GET / 200 in 7ms
 ✓ Compiled in 79ms (300 modules)
 GET / 200 in 5ms
 ✓ Compiled in 66ms (300 modules)
 GET / 200 in 15ms
 ✓ Compiled in 78ms (300 modules)
 GET / 200 in 18ms
 ✓ Compiled in 70ms (300 modules)
 GET / 200 in 14ms
 ✓ Compiled in 83ms (300 modules)
 GET / 200 in 5ms
 ✓ Compiled in 71ms (300 modules)
 GET / 200 in 9ms
 ✓ Compiled in 72ms (300 modules)
 GET / 200 in 5ms
 ✓ Compiled in 71ms (300 modules)
 GET / 200 in 6ms
 ✓ Compiled in 80ms (300 modules)
 GET / 200 in 16ms
 ✓ Compiled in 62ms (300 modules)
 GET / 200 in 6ms
 ✓ Compiled in 81ms (300 modules)
 GET / 200 in 12ms
 ✓ Compiled in 68ms (300 modules)
 GET / 200 in 6ms
 ✓ Compiled in 71ms (300 modules)
 GET / 200 in 18ms
 ✓ Compiled in 62ms (300 modules)
 ✓ Compiled in 81ms (300 modules)
 ✓ Compiled in 70ms (300 modules)
 ✓ Compiled in 75ms (300 modules)
 ✓ Compiled in 71ms (300 modules)
 ✓ Compiled in 79ms (300 modules)
 ✓ Compiled in 70ms (300 modules)
 ✓ Compiled in 78ms (300 modules)
 ✓ Compiled in 67ms (300 modules)
 ✓ Compiled in 72ms (300 modules)
 ✓ Compiled in 67ms (300 modules)
 ✓ Compiled in 80ms (300 modules)
 ✓ Compiled in 72ms (300 modules)
 ✓ Compiled in 77ms (300 modules)
 ✓ Compiled in 70ms (300 modules)
 ✓ Compiled in 81ms (300 modules)
 ✓ Compiled in 64ms (300 modules)
 ✓ Compiled in 75ms (300 modules)
 ✓ Compiled in 62ms (300 modules)
 ✓ Compiled in 77ms (300 modules)
 ✓ Compiled in 63ms (300 modules)
 ✓ Compiled in 73ms (300 modules)
 ✓ Compiled in 69ms (300 modules)
 ✓ Compiled in 76ms (300 modules)
 ✓ Compiled in 71ms (300 modules)
 ✓ Compiled in 74ms (300 modules)
 ✓ Compiled in 72ms (300 modules)
 ✓ Compiled in 87ms (300 modules)
 ✓ Compiled in 67ms (300 modules)
 ✓ Compiled in 81ms (300 modules)
 ✓ Compiled in 81ms (300 modules)
 ✓ Compiled in 83ms (300 modules)
 ✓ Compiled in 78ms (300 modules)
 ✓ Compiled in 92ms (300 modules)
 ✓ Compiled in 78ms (300 modules)
 ✓ Compiled in 90ms (300 modules)
 ✓ Compiled in 74ms (300 modules)
 ✓ Compiled in 83ms (300 modules)
 ✓ Compiled in 74ms (300 modules)
 ✓ Compiled in 75ms (300 modules)
 ✓ Compiled in 76ms (300 modules)
 ✓ Compiled in 77ms (300 modules)
 ✓ Compiled in 78ms (300 modules)
 ✓ Compiled in 75ms (300 modules)
 ✓ Compiled in 74ms (300 modules)
 ✓ Compiled in 95ms (300 modules)
 ✓ Compiled in 82ms (300 modules)
 ✓ Compiled in 92ms (300 modules)
 ✓ Compiled in 71ms (300 modules)
 ✓ Compiled in 86ms (300 modules)
 ✓ Compiled in 66ms (300 modules)
 ✓ Compiled in 81ms (300 modules)
 ✓ Compiled in 87ms (300 modules)
 ✓ Compiled in 89ms (300 modules)
 ✓ Compiled in 72ms (300 modules)
 ✓ Compiled in 86ms (300 modules)
 ✓ Compiled in 66ms (300 modules)
 ✓ Compiled in 59ms (300 modules)
 ✓ Compiled in 69ms (300 modules)
 ✓ Compiled in 77ms (300 modules)
 ✓ Compiled in 69ms (300 modules)
 GET / 200 in 40ms
 GET / 200 in 14ms
 GET / 200 in 17ms
 GET / 200 in 9ms
 GET / 200 in 8ms
 GET / 200 in 5ms
 GET / 200 in 5ms
 GET / 200 in 4ms
 GET / 200 in 5ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 5ms
 GET / 200 in 5ms
 GET / 200 in 7ms
 GET / 200 in 2ms
 GET / 200 in 2ms
 GET / 200 in 2ms
 GET / 200 in 4ms
 GET / 200 in 8ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 4ms
 GET / 200 in 10ms
 GET / 200 in 8ms
 GET / 200 in 7ms
 GET / 200 in 5ms
 GET / 200 in 5ms
 GET / 200 in 5ms
 GET / 200 in 5ms
 GET / 200 in 6ms
 GET / 200 in 6ms
 GET / 200 in 4ms
 GET / 200 in 5ms
 GET / 200 in 5ms
 GET / 200 in 5ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 5ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 ✓ Compiled in 82ms (300 modules)
 ✓ Compiled in 56ms (300 modules)
 ✓ Compiled in 78ms (300 modules)
 ✓ Compiled in 67ms (300 modules)
 ✓ Compiled in 72ms (300 modules)
 ✓ Compiled in 57ms (300 modules)
 ✓ Compiled in 56ms (300 modules)
 ✓ Compiled in 75ms (300 modules)
 ✓ Compiled in 54ms (300 modules)
 ✓ Compiled in 63ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 64ms (300 modules)
 ✓ Compiled in 65ms (300 modules)
 ✓ Compiled in 50ms (300 modules)
 ✓ Compiled in 53ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 54ms (300 modules)
 ✓ Compiled in 57ms (300 modules)
 ✓ Compiled in 64ms (300 modules)
 ✓ Compiled in 50ms (300 modules)
 ✓ Compiled /_not-found in 71ms (619 modules)
 GET /api/tasks 404 in 127ms
 ✓ Compiled in 56ms (303 modules)
 ✓ Compiled in 60ms (303 modules)
 ✓ Compiled in 52ms (303 modules)
 ✓ Compiled in 67ms (303 modules)
 ✓ Compiled in 55ms (303 modules)
 ✓ Compiled in 62ms (303 modules)
 ✓ Compiled in 57ms (300 modules)
 ✓ Compiled in 69ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 63ms (300 modules)
 ✓ Compiled in 70ms (300 modules)
 ✓ Compiled in 58ms (300 modules)
 ✓ Compiled in 70ms (300 modules)
 ✓ Compiled in 62ms (300 modules)
 ✓ Compiled in 69ms (300 modules)
 ✓ Compiled in 69ms (300 modules)
 ✓ Compiled in 77ms (300 modules)
 ✓ Compiled in 64ms (300 modules)
 ✓ Compiled in 71ms (300 modules)
 ✓ Compiled in 58ms (300 modules)
 ✓ Compiled in 71ms (300 modules)
 ✓ Compiled in 61ms (300 modules)
 ✓ Compiled in 72ms (300 modules)
 ✓ Compiled in 56ms (300 modules)
 ✓ Compiled in 76ms (300 modules)
 ✓ Compiled in 55ms (300 modules)
 ✓ Compiled in 75ms (300 modules)
 ✓ Compiled in 60ms (300 modules)
 ✓ Compiled in 66ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 65ms (300 modules)
 ✓ Compiled in 86ms (300 modules)
 ✓ Compiled in 69ms (300 modules)
 ✓ Compiled in 51ms (300 modules)
 ✓ Compiled in 82ms (300 modules)
 ✓ Compiled in 49ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 69ms (300 modules)
 ✓ Compiled in 59ms (300 modules)
 ✓ Compiled in 55ms (300 modules)
 ✓ Compiled in 72ms (300 modules)
 ✓ Compiled in 59ms (300 modules)
 ✓ Compiled in 53ms (300 modules)
 ✓ Compiled in 79ms (300 modules)
 ✓ Compiled in 56ms (300 modules)
 ✓ Compiled in 50ms (300 modules)
 ✓ Compiled in 58ms (300 modules)
 ✓ Compiled in 67ms (300 modules)
 ✓ Compiled in 63ms (300 modules)
 ✓ Compiled in 78ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 79ms (300 modules)
 ✓ Compiled in 67ms (300 modules)
 ✓ Compiled in 40ms (300 modules)
 ✓ Compiled in 35ms (300 modules)
 ✓ Compiled in 34ms (300 modules)
 ✓ Compiled in 39ms (300 modules)
 ✓ Compiled in 42ms (300 modules)
 ✓ Compiled in 34ms (300 modules)
 ✓ Compiled in 59ms (300 modules)
 ✓ Compiled in 40ms (300 modules)
 ✓ Compiled in 35ms (300 modules)
 ✓ Compiled in 33ms (300 modules)
 ✓ Compiled in 39ms (300 modules)
 GET / 200 in 15ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 6ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 6ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 7ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 6ms
 GET / 200 in 5ms
 GET / 200 in 8ms
 GET / 200 in 6ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 5ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 ✓ Compiled in 65ms (300 modules)
 ✓ Compiled in 76ms (300 modules)
 ✓ Compiled in 64ms (300 modules)
 ✓ Compiled in 66ms (300 modules)
 ✓ Compiled in 75ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 65ms (300 modules)
 ✓ Compiled in 73ms (300 modules)
 ✓ Compiled in 63ms (300 modules)
 ✓ Compiled in 58ms (300 modules)
 ✓ Compiled in 78ms (300 modules)
 ✓ Compiled in 62ms (300 modules)
 ✓ Compiled in 77ms (300 modules)
 ✓ Compiled in 64ms (300 modules)
 ✓ Compiled in 78ms (300 modules)
 ✓ Compiled in 64ms (300 modules)
 ✓ Compiled in 74ms (300 modules)
 ✓ Compiled in 62ms (300 modules)
 ✓ Compiled in 52ms (300 modules)
 ✓ Compiled in 63ms (300 modules)
 ✓ Compiled in 66ms (300 modules)
 ✓ Compiled in 75ms (300 modules)
 ✓ Compiled in 59ms (300 modules)
 ✓ Compiled in 78ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 72ms (300 modules)
 ✓ Compiled in 54ms (300 modules)
 ✓ Compiled in 64ms (300 modules)
 ✓ Compiled in 60ms (300 modules)
 ✓ Compiled in 61ms (300 modules)
 ✓ Compiled in 55ms (300 modules)
 ✓ Compiled in 57ms (300 modules)
 ✓ Compiled in 66ms (300 modules)
 ✓ Compiled in 60ms (300 modules)
 ✓ Compiled in 51ms (300 modules)
 ✓ Compiled in 55ms (300 modules)
 ✓ Compiled in 34ms (300 modules)
 ✓ Compiled in 49ms (300 modules)
 ✓ Compiled in 59ms (300 modules)
 ✓ Compiled in 58ms (300 modules)
 ✓ Compiled in 64ms (300 modules)
 ✓ Compiled in 64ms (300 modules)
 ✓ Compiled in 77ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 80ms (300 modules)
 ✓ Compiled in 56ms (300 modules)
 ✓ Compiled in 60ms (300 modules)
 ✓ Compiled in 49ms (300 modules)
 ✓ Compiled in 61ms (300 modules)
 ✓ Compiled in 50ms (300 modules)
 ✓ Compiled in 59ms (300 modules)
 ✓ Compiled in 49ms (300 modules)
 ✓ Compiled in 72ms (300 modules)
 ✓ Compiled in 56ms (300 modules)
 ✓ Compiled in 63ms (300 modules)
 ✓ Compiled in 58ms (300 modules)
 ✓ Compiled in 65ms (300 modules)
 ✓ Compiled in 47ms (300 modules)
 ✓ Compiled in 57ms (300 modules)
 ✓ Compiled in 46ms (300 modules)
 ✓ Compiled in 63ms (300 modules)
 ✓ Compiled in 48ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 54ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 70ms (300 modules)
 ✓ Compiled in 69ms (300 modules)
 ✓ Compiled in 61ms (300 modules)
 ✓ Compiled in 78ms (300 modules)
 ✓ Compiled in 67ms (300 modules)
 ✓ Compiled in 72ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 71ms (300 modules)
 ✓ Compiled in 76ms (300 modules)
 ✓ Compiled in 80ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 70ms (300 modules)
 ✓ Compiled in 63ms (300 modules)
 ✓ Compiled in 75ms (300 modules)
 ✓ Compiled in 57ms (300 modules)
 ✓ Compiled in 71ms (300 modules)
 ✓ Compiled in 61ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 58ms (300 modules)
 ✓ Compiled in 67ms (300 modules)
 ✓ Compiled in 59ms (300 modules)
 GET / 200 in 15ms
 GET / 200 in 6ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 6ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 2ms
 GET / 200 in 6ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 4ms
 GET / 200 in 2ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 6ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 6ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 4ms
 GET / 200 in 3ms
 GET / 200 in 6ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 4ms
 GET / 200 in 4ms
 GET / 200 in 6ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 5ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 7ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 2ms
 GET / 200 in 2ms
 GET / 200 in 3ms
 GET / 200 in 5ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 GET / 200 in 2ms
 GET / 200 in 2ms
 GET / 200 in 5ms
 GET / 200 in 3ms
 GET / 200 in 3ms
 GET / 200 in 2ms
 ✓ Compiled in 67ms (300 modules)
 ✓ Compiled in 59ms (300 modules)
 ✓ Compiled in 80ms (300 modules)
 ✓ Compiled in 52ms (300 modules)
 ✓ Compiled in 69ms (300 modules)
 ✓ Compiled in 57ms (300 modules)
 ✓ Compiled in 92ms (300 modules)
 ✓ Compiled in 61ms (300 modules)
 ✓ Compiled in 69ms (300 modules)
 ✓ Compiled in 58ms (300 modules)
 ✓ Compiled in 67ms (300 modules)
 ✓ Compiled in 57ms (300 modules)
 ✓ Compiled in 67ms (300 modules)
 ✓ Compiled in 60ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 52ms (300 modules)
 ✓ Compiled in 71ms (300 modules)
 ✓ Compiled in 52ms (300 modules)
 ✓ Compiled in 72ms (300 modules)
 ✓ Compiled in 59ms (300 modules)
 ✓ Compiled in 67ms (300 modules)
 ✓ Compiled in 62ms (300 modules)
 ✓ Compiled in 43ms (300 modules)
 ✓ Compiled in 64ms (300 modules)
 ✓ Compiled in 63ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 59ms (300 modules)
 ✓ Compiled in 71ms (300 modules)
 ✓ Compiled in 66ms (300 modules)
 ✓ Compiled in 79ms (300 modules)
 ✓ Compiled in 79ms (300 modules)
 ✓ Compiled in 89ms (300 modules)
 ✓ Compiled in 68ms (300 modules)
 ✓ Compiled in 76ms (300 modules)
 ✓ Compiled in 69ms (300 modules)
 ✓ Compiled in 86ms (300 modules)
 ✓ Compiled in 67ms (300 modules)
 ✓ Compiled in 88ms (300 modules)
 ✓ Compiled in 83ms (300 modules)
 ✓ Compiled in 76ms (300 modules)
 ✓ Compiled in 75ms (300 modules)
 ✓ Compiled in 82ms (300 modules)
 ✓ Compiled in 66ms (300 modules)
 ✓ Compiled in 80ms (300 modules)
 ✓ Compiled in 74ms (300 modules)
 ✓ Compiled in 91ms (300 modules)
 ✓ Compiled in 79ms (300 modules)
 ✓ Compiled in 92ms (300 modules)
 ✓ Compiled in 62ms (300 modules)
 ✓ Compiled in 84ms (300 modules)
 ✓ Compiled in 82ms (300 modules)
 ✓ Compiled in 84ms (300 modules)
 ✓ Compiled in 81ms (300 modules)
 ✓ Compiled in 87ms (300 modules)
 ✓ Compiled in 66ms (300 modules)
 ✓ Compiled in 76ms (300 modules)
 ✓ Compiled in 71ms (300 modules)
 ✓ Compiled in 82ms (300 modules)
 ✓ Compiled in 89ms (300 modules)
 ✓ Compiled in 76ms (300 modules)
 ✓ Compiled in 70ms (300 modules)
 ✓ Compiled in 72ms (300 modules)
 ✓ Compiled in 73ms (300 modules)
[?25h
